,tag,src,tgt,pred
0,5,<RX_6>CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)O)C1,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)OC(C)(C)C)C1,CCOC(=O)C(C)(C)OC[C@@H]1CCC[C@@H](COCc2nc(-c3ccc(C(F)(F)F)cc3)oc2CC)C1
1,8,<RX_6>C#CCCCCC(C)(C)c1cc(OC)cc(OC)c1,COc1cc(OC)cc(C(C)(C)CCCCC#C[Si](C)(C)C)c1,C#CCCCCC(C)(C)c1cc(OC)cc(OC)c1
2,11,<RX_4>CCOC(=O)Cn1c(C)cc2c1CCC2,CC(=O)CC1CCCC1=O.CCOC(=O)CN,CCOC(=O)CN.CCOC(=O)Cc1cc2c(cc1C)C(CC(C)=O)CCC2
3,15,<RX_1>COc1ccc(CN2CCc3nc(NC(=O)N[C@H](C)c4ccccc4)cc4c3c2nn4C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COc1ccc(CN2CCc3nc(Cl)cc4c3c2nn4C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.C[C@@H](NC(N)=O)c1ccccc1,COc1ccc(CCl)cc1.C[C@H](NC(=O)NC1=NC2=NN(C(c3ccccc3)(c3ccccc3)c3ccccc3)C2=C1)c1ccccc1
4,16,<RX_10>CC1=C(c2ccccc2)C(=O)N(C(C)(C)C(=O)CCC(C)Br)CO1,Br.C=CCCC(=O)C(C)(C)N1COC(C)=C(c2ccccc2)C1=O,CC1=C(c2ccccc2)C(=O)N(Br)C1=O.CCCCC(=O)C(C)(C)N1COC(C)=C(c2ccccc2)C1
5,17,<RX_1>CSc1cc(-n2nc(C)cc2Nc2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)ncn1,CSc1cc(-n2nc(C)cc2N)ncn1.Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Br,CSc1cc(Cl)ncn1.Cc1cc(N)c(Nc2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)nn1
6,21,<RX_6>COCCOCOc1c(CC=C(C)CCC(=O)O)c(OC)c(C)c2c1C(=O)OC2,COCCOCOc1c(C/C=C(\C)CCC(=O)OC)c(OC)c(C)c2c1C(=O)OC2,CCOC(=O)CCC(C)=CCc1c(OC)c(C)c2c(c1OCOCCOC)C(=O)OC2
7,27,<RX_6>CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)O)n1,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)OC)n1,CCOC(=O)c1cccc(COc2cc(OCc3cccc(C(C)=O)n3)c(CC)cc2C(C)=O)n1
8,29,<RX_7>CC(C)(C)OC(=O)N1CCC(OCCO)CC1,CC(C)(C)OC(=O)COC1CCN(C(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)N1CCC(OCC(=O)O)CC1
9,30,<RX_3>O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(-c3cccc(CO)c3)cc12,CCCC[Sn](CCCC)(CCCC)c1cccc(CO)c1.O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12,O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12.OCc1cccc(B(O)O)c1
10,34,<RX_6>Oc1cnn(-c2ccc(Br)cc2)n1,CC(=O)Oc1cnn(-c2ccc(Br)cc2)n1,COc1cnn(-c2ccc(Br)cc2)n1
11,45,<RX_6>CCC1(C)C(=O)C(C(=O)NCC(=O)O)=C(O)c2cc(Cl)ccc21,CCC1(C)C(=O)C(C(=O)NCC(=O)OC(C)(C)C)=C(O)c2cc(Cl)ccc21,CCC1(C)C(=O)C(C(=O)NCC(=O)OC)=C(O)c2cc(Cl)ccc21
12,52,<RX_1>Brc1ccc(OCc2ccccc2)cn1,OCc1ccccc1.Oc1ccc(Br)nc1,BrCc1ccccc1.Oc1ccc(Br)nc1
13,53,<RX_1>CSc1nc(CS(C)(=O)=O)cc(N2[C@@H](C)COC[C@H]2C)n1,CSc1nc(CS(C)(=O)=O)cc(OS(=O)(=O)C(F)(F)F)n1.C[C@H]1COC[C@@H](C)N1,CSc1nc(Cl)cc(CS(C)(=O)=O)n1.C[C@@H]1COC[C@@H](C)N1
14,55,<RX_6>C[C@H]1CC(=O)CC[C@H]1N1CCC(Cc2ccc(Cl)cc2Cl)C1=O,C[C@@H]1CC2(CC[C@@H]1N1CCC(Cc3ccc(Cl)cc3Cl)C1=O)OCCO2,
15,56,<RX_9>CC(C)(C)OC(=O)N1CCC(C)(C(N)=O)CC1,CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1.On1nnc2ccccc21,CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1.CCN(CC)CC
16,58,<RX_3>C=C1CCN(C(=O)OC(C)(C)C)CC1C,CC1CN(C(=O)OC(C)(C)C)CCC1=O.[Li]CCCC,CC1CN(C(=O)OC(C)(C)C)CCC1=O.C[Si](C)(C)[N-][Si]
17,60,<RX_7>CCOC(=O)C=CC(C)=CCO,CCOC(=O)C=CC(C)=CCOC(C)=O,CCOC(=O)C=CC(C)=CC(=O)OCC
18,61,<RX_1>CC(C)(C)OC(=O)N1CCN(Cc2cn(CC3(CO[Si](C)(C)C(C)(C)C)CCC3)c(=O)c3ccc(Br)cc23)CC1,CC(C)(C)OC(=O)N1CCN(Cc2c[nH]c(=O)c3ccc(Br)cc23)CC1.CC(C)(C)[Si](C)(C)OCC1(COS(C)(=O)=O)CCC1,CC(C)(C)OC(=O)N1CCNCC1.CC(C)(C)[Si](C)(C)OCC1(Cn2cc(COS(C)(=O)=O)c3cc(Br)ccc3c2=O)CCC1
19,63,<RX_1>CCCN(C(=O)c1nc2ccccc2n1CCCCOC)[C@H]1C[C@@H](C(=O)N2CCOCC2)CN(C(=O)OC(C)(C)C)C1,CCCN(C(=O)c1nc2ccccc2[nH]1)[C@H]1C[C@@H](C(=O)N2CCOCC2)CN(C(=O)OC(C)(C)C)C1.COCCCCOS(C)(=O)=O,CCCN(C(=O)c1nc2ccccc2n1CCCCOC)[C@H]1C[C@@H](C(=O)N2CCOCC2)CN(C(=O)OC(C)(C)C)C1.CI
20,64,<RX_10>CCOC(=O)c1ccccc1-c1cccc(CBr)c1,CCOC(=O)c1cccc(-c2ccc(CBr)cc2)c1,CCOC(=O)c1ccccc1-c1cccc(C)c1.O=C1CCC(=O)N1Br
21,66,<RX_1>CC1(C)COc2ccc(Br)cc21,CC(C)(CCl)c1cc(Br)ccc1O,CC(C)(CO)c1cc(Br)ccc1F
